aX,aY,aZ,gX,gY,gZ
0.281,-0.400,1.228,-155.701,-94.543,-9.949
0.303,-0.457,1.199,-140.808,-89.233,0.977

0.452,-0.171,1.496,163.086,50.659,-16.357
0.406,-0.209,1.489,173.767,52.734,-14.099
0.382,-0.259,1.492,184.448,54.138,-8.362
0.391,-0.296,1.510,191.772,59.875,-2.502
0.404,-0.314,1.548,194.824,71.350,2.502
0.442,-0.292,1.555,198.303,83.191,7.874
0.497,-0.251,1.543,203.735,91.370,13.367
0.518,-0.261,1.514,212.585,98.877,16.052
0.543,-0.288,1.461,221.985,102.173,16.296
0.543,-0.338,1.434,228.821,100.647,15.259
0.490,-0.366,1.429,232.422,98.633,11.780
0.410,-0.408,1.422,237.000,96.313,8.118
0.363,-0.463,1.410,242.737,93.140,8.972
0.343,-0.414,1.390,245.972,91.736,13.184
0.387,-0.377,1.387,249.878,95.398,19.653
0.428,-0.430,1.417,257.690,105.896,25.879
0.463,-0.457,1.426,265.320,115.356,29.419
0.514,-0.455,1.428,270.569,116.699,27.771
0.497,-0.506,1.489,277.466,116.699,22.888
0.451,-0.526,1.512,285.828,114.441,17.273
0.466,-0.521,1.482,296.570,107.422,14.099
0.473,-0.555,1.430,308.472,102.234,12.268
0.413,-0.587,1.328,315.552,100.891,11.658
0.389,-0.586,1.242,314.636,105.286,14.771
0.437,-0.613,1.316,308.289,118.958,19.409
0.338,-0.542,1.501,302.185,131.653,20.874
0.306,-0.444,1.569,309.021,133.545,22.888
0.354,-0.424,1.568,329.956,131.348,24.963
0.271,-0.322,1.479,346.863,125.916,23.682
0.185,-0.245,1.257,360.413,122.742,22.400
0.089,-0.201,1.103,368.103,128.540,25.024
-0.072,-0.029,1.014,367.676,135.437,31.738
-0.079,0.106,0.884,367.493,139.221,42.603
-0.086,0.200,0.849,365.417,149.353,55.115
-0.193,0.458,0.794,359.070,156.006,62.866
-0.353,0.793,0.499,358.826,153.870,67.993
-0.444,1.153,0.046,359.985,151.062,72.266
-0.497,1.469,-0.416,356.567,147.827,77.698
-0.578,1.806,-0.907,346.680,135.071,81.604
-0.638,2.129,-1.458,327.698,117.310,79.773
-0.600,2.306,-1.966,302.368,102.539,76.721
-0.497,2.370,-2.384,270.386,86.121,74.890
-0.336,2.287,-2.665,231.506,68.115,69.336
-0.149,1.991,-2.664,185.425,53.772,59.570
0.013,1.656,-2.390,131.897,44.067,44.128
0.218,1.200,-1.886,83.618,39.795,27.649
0.405,0.631,-1.236,46.448,37.720,17.212
0.521,0.137,-0.615,22.827,34.058,12.939
0.601,-0.229,-0.219,17.334,29.114,11.047
0.600,-0.448,-0.135,28.259,25.696,9.521
0.556,-0.462,-0.349,45.837,22.705,7.629
0.490,-0.332,-0.756,61.096,17.151,5.737
0.354,-0.200,-1.135,67.078,13.611,6.714
0.211,0.016,-1.432,56.641,13.977,7.812
0.160,0.191,-1.595,36.987,15.686,10.193
0.183,0.259,-1.582,17.029,17.456,16.785
0.227,0.285,-1.471,-0.549,18.005,22.034
0.288,0.276,-1.320,-13.367,14.648,22.156
0.371,0.180,-1.191,-17.517,7.324,20.874
0.457,0.031,-1.071,-17.761,0.610,18.433
0.514,-0.163,-0.901,-17.822,-1.831,17.029
0.621,-0.388,-0.668,-17.151,-2.502,17.212
0.675,-0.510,-0.441,-14.709,-1.831,18.738
0.693,-0.536,-0.318,-9.094,-0.610,18.311
0.696,-0.463,-0.366,1.343,0.183,17.944
0.667,-0.307,-0.585,13.489,-0.427,18.066
0.608,-0.146,-0.859,21.057,-0.671,17.151
0.533,0.002,-1.054,20.325,-0.305,10.925
0.443,0.105,-1.133,14.893,-1.038,2.502
0.358,0.107,-1.127,10.010,-2.563,-2.197
0.332,0.061,-1.064,4.150,-2.930,-2.258
0.398,-0.005,-1.032,-2.625,-1.892,0.610
0.506,-0.122,-0.951,-10.559,0.732,3.418
0.563,-0.189,-0.765,-20.142,5.188,3.662
0.587,-0.250,-0.571,-21.973,6.714,3.967
0.602,-0.289,-0.488,-16.907,5.493,3.906
0.600,-0.281,-0.525,-9.583,2.625,2.563
0.586,-0.257,-0.639,-2.014,-0.732,2.075
0.555,-0.202,-0.787,2.808,-3.113,1.160
0.503,-0.148,-0.932,2.197,-5.249,-0.183
0.478,-0.094,-1.013,-4.150,-6.531,-2.197
