aX,aY,aZ,gX,gY,gZ
-3.907,-4.000,0.253,165.955,-251.160,-281.616
-3.040,-4.000,0.464,167.236,-203.979,-233.093
-1.523,-4.000,0.316,138.733,-163.452,-201.660
0.288,-4.000,0.068,69.458,-117.798,-164.978
1.241,-4.000,-0.198,-1.465,-62.073,-39.307
0.489,-4.000,-0.575,-27.954,56.519,176.270
-1.124,-4.000,-1.136,-13.855,261.719,378.662
-2.163,-3.568,-1.402,38.879,452.637,529.968
-2.702,-3.155,-1.161,122.131,517.578,645.508
-2.704,-2.843,-0.572,198.120,474.915,704.285
-2.297,-2.482,0.055,215.027,394.653,711.487
-1.882,-1.973,0.403,165.527,316.162,693.848
-1.691,-1.315,0.704,84.229,247.559,665.344
-1.501,-0.804,0.871,20.630,191.162,618.835
-1.053,-0.443,1.000,-13.062,154.480,554.749
-0.655,0.049,1.087,-49.561,142.883,493.347
-0.462,0.581,1.194,-64.941,149.292,447.510
-0.441,0.946,1.258,-61.890,166.199,395.691
-0.453,1.506,1.293,-62.683,188.843,324.402
-0.366,1.977,1.138,-65.063,211.182,237.244
-0.167,2.181,0.852,-70.374,218.689,157.043
0.011,2.179,0.554,-80.566,205.078,103.760
0.167,2.093,0.419,-79.346,180.054,81.421
0.280,2.052,0.493,-53.650,148.315,66.650
0.402,1.975,0.706,-12.085,107.361,45.715
0.563,1.950,1.032,23.499,70.679,28.442
0.615,2.000,1.319,41.565,44.128,15.015
0.738,1.945,1.491,41.504,38.330,2.686
0.863,1.784,1.550,23.621,50.781,-4.517
1.006,1.675,1.470,-4.150,74.402,-3.235
1.038,1.656,1.292,-34.302,100.647,9.888
1.126,1.553,1.024,-59.875,119.995,20.996
1.212,1.455,0.713,-82.397,124.817,23.926
1.276,1.352,0.419,-91.064,114.990,25.269
1.313,1.223,0.229,-79.895,95.581,25.391
1.353,1.115,0.156,-55.725,72.998,23.865
1.337,1.048,0.191,-32.043,49.561,24.536
1.273,1.005,0.281,-17.761,28.076,28.381
1.149,0.959,0.362,-13.977,13.245,32.410
1.070,0.865,0.412,-14.465,9.521,34.424
1.013,0.803,0.420,-17.029,12.573,36.072
0.944,0.761,0.392,-21.118,18.372,35.645
0.863,0.712,0.344,-24.048,26.062,33.936
0.778,0.652,0.299,-24.292,36.133,32.654
0.733,0.619,0.245,-20.142,48.889,31.006
0.675,0.623,0.224,-14.282,63.110,25.391
0.645,0.577,0.167,-9.277,75.745,17.090
0.651,0.557,0.084,-9.094,78.735,10.864
0.628,0.524,0.015,-11.108,65.186,6.531
0.633,0.493,-0.005,-10.315,41.138,3.845
0.649,0.486,0.023,-8.301,15.381,0.671
0.640,0.493,0.084,-6.531,-4.456,-2.197
0.636,0.500,0.146,-5.676,-15.625,-5.493
0.639,0.499,0.186,-5.981,-18.494,-9.705
0.669,0.488,0.197,-4.639,-13.000,-14.038
0.695,0.468,0.195,-1.526,-2.014,-18.127
0.731,0.453,0.174,1.831,10.986,-21.118
0.783,0.428,0.150,4.395,20.630,-23.437
0.828,0.405,0.143,5.188,23.682,-23.621
0.862,0.388,0.149,3.967,22.522,-21.057
0.894,0.388,0.146,0.671,18.616,-17.639
0.910,0.392,0.135,-3.845,11.780,-13.855
0.891,0.397,0.125,-7.629,4.517,-9.888
0.865,0.411,0.116,-8.423,-0.061,-6.592
0.821,0.430,0.111,-7.507,-2.197,-4.639
0.805,0.424,0.121,-5.798,-2.380,-3.479

0.894,0.687,0.369,-9.399,7.568,-69.641
1.252,0.560,0.349,-12.451,11.536,-75.623
1.588,0.404,0.297,-16.296,14.160,-73.181
1.822,0.278,0.221,-19.165,10.742,-57.129
1.904,0.198,0.151,-24.658,2.563,-28.931
1.775,0.197,0.101,-30.945,-6.592,4.028
1.536,0.235,0.070,-32.654,-11.475,33.447
1.217,0.264,0.061,-28.870,-10.376,53.162
0.887,0.281,0.056,-23.926,-2.319,63.904
0.553,0.287,0.037,-22.400,9.338,68.481
0.243,0.280,0.011,-21.606,18.677,69.336
-0.004,0.261,-0.017,-20.264,24.902,66.101
-0.172,0.229,-0.025,-18.005,28.931,57.617
-0.273,0.192,-0.007,-14.954,31.616,44.861
-0.296,0.171,0.011,-12.085,33.386,31.128
-0.246,0.161,0.063,-12.024,31.555,18.494
-0.123,0.142,0.134,-16.113,21.423,7.385
0.004,0.170,0.172,-24.292,3.540,-4.395
0.216,0.212,0.190,-31.250,-13.916,-16.846
0.467,0.255,0.198,-36.011,-29.114,-29.785
0.709,0.312,0.204,-39.185,-40.588,-42.603
0.998,0.371,0.204,-35.461,-42.175,-52.063
1.242,0.436,0.229,-25.635,-35.645,-58.167
1.452,0.511,0.293,-14.343,-25.696,-61.035
1.655,0.594,0.347,-4.028,-15.747,-60.669
1.812,0.676,0.389,4.211,-11.597,-60.730
1.876,0.769,0.408,10.254,-15.503,-60.669
1.894,0.858,0.447,13.916,-23.254,-55.481
1.859,0.942,0.538,14.099,-32.288,-45.410
1.745,1.089,0.596,10.376,-45.471,-36.621
1.620,1.306,0.599,4.578,-61.218,-33.691
1.514,1.492,0.543,0.305,-75.928,-39.001
1.392,1.639,0.469,-1.709,-87.585,-54.138
1.273,1.750,0.336,1.953,-94.910,-77.454
1.204,1.815,0.254,12.085,-103.638,-106.140
1.188,1.772,0.217,25.452,-115.417,-133.911
1.155,1.677,0.229,39.185,-131.592,-157.349
1.179,1.686,0.263,52.429,-154.907,-177.734
1.282,1.898,0.237,64.026,-185.608,-198.181
1.511,2.327,0.171,72.205,-214.783,-220.093
1.842,2.824,-0.014,78.918,-236.877,-243.469
2.162,3.058,-0.209,87.830,-259.094,-265.747
2.286,3.082,-0.074,106.445,-295.776,-276.917
2.240,3.133,0.226,129.272,-339.172,-266.968
2.070,3.357,0.584,155.334,-377.502,-245.178
1.772,3.927,0.860,181.091,-393.555,-233.582
1.658,4.000,0.939,201.477,-367.798,-234.985
1.687,4.000,0.847,200.195,-305.237,-247.925
1.610,4.000,0.498,148.499,-261.902,-270.264
1.362,4.000,0.225,41.077,-278.687,-283.569
0.438,4.000,-0.052,-64.941,-366.028,-269.165
-0.929,3.525,-0.561,-142.334,-446.045,-254.822
-2.962,2.440,-1.164,-153.992,-479.004,-258.667
-4.000,0.625,-1.705,-78.247,-452.881,-288.513
-4.000,-3.054,-2.093,40.527,-381.897,-339.844
-4.000,-4.000,-1.530,141.113,-316.528,-397.400
-4.000,-4.000,-0.929,177.368,-294.983,-479.431
-2.752,-4.000,-0.412,135.742,-266.663,-484.985
-0.397,-4.000,-0.514,4.395,-224.670,-345.276
1.150,-4.000,-1.244,-86.609,-128.601,-147.888
1.762,-4.000,-2.130,-88.013,85.388,63.904
-0.418,-4.000,-2.817,-73.425,310.791,319.031
-3.759,-3.507,-2.984,-24.414,496.460,558.655
-4.000,-2.056,-2.478,70.679,547.913,638.855
-4.000,-1.350,-1.494,114.441,379.944,543.518
-3.215,-1.396,0.117,84.900,119.324,438.293
-2.240,-1.302,0.692,4.883,-18.982,401.550
-1.849,-1.059,0.867,-56.030,-15.503,403.137
-1.345,-0.786,0.871,-71.716,62.744,418.457
-1.085,-0.430,0.948,-48.828,169.678,438.049
-0.950,-0.102,1.136,-15.930,253.601,457.031
-0.893,0.208,1.409,0.916,291.626,475.830
-0.642,0.470,1.498,-4.211,306.213,489.746
-0.426,0.848,1.505,-24.475,310.669,483.826
-0.391,1.169,1.405,-47.241,315.552,448.547
-0.211,1.492,1.040,-59.875,323.792,393.188
-0.091,1.654,0.896,-78.796,323.547,339.905
-0.040,1.771,0.842,-95.276,328.796,299.683
0.010,1.775,0.857,-84.229,324.524,268.982
0.104,2.085,0.954,-62.500,277.466,237.061
0.182,2.516,1.059,-47.974,203.674,188.538
0.264,2.740,1.224,-48.462,132.263,139.832
0.436,2.672,1.317,-63.477,79.468,92.590
0.660,2.398,1.267,-77.271,56.946,40.894
0.962,2.107,1.083,-89.172,69.336,5.798
1.202,1.809,0.853,-86.243,101.257,-3.052
1.427,1.510,0.634,-69.214,135.986,6.958
1.489,1.432,0.448,-53.223,165.222,24.048
1.408,1.391,0.210,-41.138,187.805,33.630
1.352,1.337,0.192,-28.442,183.533,35.217
1.326,1.294,0.260,-8.606,149.231,34.668
1.262,1.282,0.330,-0.488,115.295,30.884
1.203,1.230,0.441,-0.183,89.539,26.306
1.220,1.157,0.508,0.549,63.171,25.696
1.221,1.039,0.521,-2.075,44.373,21.484
1.167,0.924,0.532,-4.333,36.194,16.541
1.145,0.848,0.502,-0.977,39.185,15.991
1.093,0.774,0.431,0.854,47.424,14.709
1.034,0.688,0.375,2.991,54.443,11.658
1.000,0.614,0.331,6.287,59.204,10.193
0.976,0.567,0.307,7.935,62.866,9.583
0.889,0.515,0.235,7.812,64.270,7.141
0.848,0.463,0.254,15.930,54.749,4.944
0.808,0.465,0.261,24.048,44.250,2.563
0.724,0.479,0.314,23.499,31.250,-0.305
0.666,0.471,0.366,19.653,13.977,-2.014
0.602,0.457,0.420,12.695,0.793,-4.883
0.559,0.449,0.449,6.531,-4.211,-7.812
0.539,0.424,0.478,1.099,-5.371,-10.864
0.624,0.371,0.529,-4.517,-3.784,-13.672
0.599,0.419,0.464,-11.658,2.930,-12.756
0.611,0.421,0.368,-12.878,19.409,-13.123
0.634,0.409,0.280,-9.094,31.189,-16.846
0.633,0.369,0.225,-6.531,32.898,-21.301
0.665,0.365,0.157,-5.310,26.672,-23.865
0.702,0.360,0.105,-9.583,14.038,-21.484
0.676,0.383,0.057,-15.564,-2.686,-16.357
0.649,0.411,0.026,-19.348,-16.357,-11.536
0.618,0.431,0.025,-20.630,-23.987,-8.606

0.851,0.369,0.125,-27.710,-30.518,44.006
0.868,0.361,0.129,-26.306,-32.104,42.297
0.902,0.336,0.147,-23.010,-32.532,40.405
0.954,0.301,0.176,-19.409,-30.884,38.208
1.005,0.243,0.225,-17.639,-28.992,36.987
1.062,0.203,0.269,-19.836,-26.184,37.231
1.072,0.212,0.297,-27.466,-23.743,38.330
1.057,0.244,0.323,-38.025,-20.325,38.086
1.018,0.286,0.332,-48.462,-14.954,35.828
0.965,0.336,0.318,-56.274,-7.629,30.884
0.918,0.374,0.289,-60.242,2.319,23.132
0.897,0.394,0.252,-60.547,12.634,14.160
0.906,0.405,0.219,-57.556,19.653,5.188
0.929,0.412,0.192,-54.138,20.386,-1.587
0.961,0.426,0.175,-54.138,13.489,-4.639
0.995,0.426,0.175,-58.777,-0.549,-5.615
1.021,0.452,0.176,-67.200,-18.433,-3.967
1.007,0.494,0.184,-76.233,-35.034,-1.709
0.970,0.545,0.188,-83.069,-43.091,-0.488
0.925,0.581,0.185,-86.121,-41.138,-1.648
0.899,0.599,0.160,-85.083,-31.982,-4.578
0.889,0.628,0.113,-81.848,-20.752,-8.423
0.884,0.660,0.050,-75.684,-11.719,-12.512
0.881,0.699,0.000,-68.420,-8.545,-16.907
0.859,0.717,-0.036,-63.232,-13.611,-22.583
0.848,0.737,-0.049,-61.096,-28.442,-29.297
0.869,0.729,-0.051,-63.232,-52.490,-35.828
0.872,0.706,-0.016,-67.505,-78.796,-41.382
0.862,0.733,0.036,-70.435,-100.891,-47.791
0.805,0.812,0.085,-70.862,-117.371,-58.472
0.829,0.891,0.123,-67.383,-121.155,-73.425
0.844,0.935,0.168,-60.425,-115.601,-94.543
0.893,0.902,0.204,-52.429,-108.582,-120.911
0.974,0.938,0.198,-45.288,-106.812,-149.353
1.072,0.921,0.203,-26.917,-110.718,-174.011
1.192,0.983,0.205,-3.418,-118.347,-190.063
1.311,1.048,0.331,21.729,-134.094,-200.623
1.477,1.227,0.485,39.734,-156.738,-202.026
1.725,1.541,0.676,44.067,-183.472,-193.176
1.964,2.034,0.839,34.119,-213.318,-181.519
2.355,2.668,0.758,13.916,-229.187,-178.345
2.612,3.201,0.713,3.357,-238.586,-186.096
2.592,3.469,0.719,22.400,-254.944,-189.209
2.587,3.677,0.749,63.354,-268.921,-190.674
2.596,4.000,0.654,100.769,-264.893,-199.890
2.692,4.000,0.187,118.958,-238.708,-203.796
2.683,4.000,-0.485,101.746,-210.510,-196.777
2.545,4.000,-1.304,34.363,-222.351,-182.800
1.993,4.000,-1.996,-63.599,-303.955,-162.659
0.936,4.000,-2.328,-143.799,-444.519,-138.855
-0.635,4.000,-2.239,-152.222,-549.133,-130.371
-2.318,3.718,-2.033,-80.078,-541.626,-167.603
-3.949,2.158,-1.738,49.194,-455.566,-244.507
-4.000,0.104,-1.131,184.631,-378.723,-328.613
-4.000,-1.991,-0.213,249.695,-352.661,-410.767
-4.000,-4.000,0.478,213.806,-347.412,-477.844
-4.000,-4.000,1.127,107.239,-344.299,-485.779
-4.000,-4.000,1.464,1.953,-376.404,-445.312
-1.203,-4.000,1.326,-66.040,-365.112,-403.015
2.447,-4.000,0.292,-109.863,-210.999,-296.082
2.915,-4.000,-1.487,-126.343,58.167,-40.771
-0.208,-4.000,-2.980,-93.506,347.778,289.673
-3.927,-3.697,-3.663,18.616,601.440,548.645
-4.000,-1.871,-3.166,189.758,649.597,588.928
-4.000,-1.162,-1.565,238.342,371.155,428.894
-3.008,-1.206,0.049,131.104,6.592,304.626
-1.928,-1.329,0.770,11.597,-184.692,309.021
-1.553,-1.473,0.773,-43.579,-142.639,360.962
-1.253,-1.393,0.550,-21.240,25.574,394.104
-0.779,-1.099,0.546,46.509,166.687,420.837
-0.650,-0.699,0.693,101.379,216.248,456.604
-0.587,-0.325,0.922,122.620,195.557,494.019
-0.522,0.059,0.953,117.737,151.367,517.578
-0.458,0.513,0.991,103.271,121.399,509.277
-0.394,1.021,1.328,93.506,127.441,459.351
0.012,1.320,1.561,86.914,174.866,379.822
0.444,1.581,1.499,43.457,231.384,309.204
0.643,1.576,1.505,-32.776,278.442,280.396
0.550,1.375,1.500,-90.759,318.970,303.589
0.440,1.243,1.507,-114.563,347.229,326.599
0.271,1.332,1.519,-108.887,348.633,316.589
0.198,1.698,1.460,-91.675,329.834,271.057
0.279,1.902,1.316,-81.238,290.527,205.872
0.433,2.013,1.220,-75.256,239.502,128.052
0.879,1.835,1.076,-69.275,190.125,66.772
1.305,1.522,0.998,-79.468,144.104,36.255
1.538,1.384,0.881,-93.506,114.441,40.039
1.585,1.364,0.816,-98.022,113.098,58.472
1.496,1.367,0.701,-94.543,134.460,66.467
1.424,1.338,0.517,-79.041,161.804,58.960
1.356,1.219,0.339,-56.396,177.002,44.922
1.309,1.153,0.207,-31.433,170.593,31.555
1.288,1.109,0.173,-8.667,145.935,20.874
1.307,1.070,0.231,4.944,114.075,17.578
1.283,1.027,0.333,7.507,83.008,18.616
1.230,0.978,0.415,1.526,58.105,20.264
1.142,0.917,0.451,-5.798,45.288,22.034
1.045,0.866,0.458,-9.949,42.603,23.010
0.959,0.812,0.444,-10.132,44.983,21.423
0.919,0.717,0.407,-8.057,46.692,17.639
0.888,0.636,0.347,-5.432,45.105,12.939
0.871,0.589,0.275,-1.221,41.382,8.789
0.848,0.518,0.228,6.104,38.086,4.639
0.839,0.479,0.219,13.489,35.950,1.831
0.812,0.469,0.224,17.639,32.532,0.732
0.791,0.463,0.242,17.578,25.879,0.305
0.757,0.456,0.260,14.221,19.409,-1.099
0.717,0.466,0.293,9.155,14.587,-1.160
0.833,0.278,0.609,3.235,6.714,-1.343
0.881,0.392,0.744,-21.484,-15.015,1.465
0.803,0.352,0.501,-54.260,-23.743,13.367
0.828,0.388,0.334,-47.668,-3.174,18.677
0.744,0.439,0.218,-34.607,14.954,11.047
0.748,0.339,0.075,-15.015,19.592,0.427
0.777,0.342,-0.008,0.427,8.728,-8.362
0.762,0.353,-0.009,9.888,-9.277,-10.864
0.775,0.338,0.060,10.010,-26.062,-8.606
0.768,0.327,0.089,1.404,-38.696,-4.089
0.799,0.314,0.084,-8.606,-44.250,1.770

0.896,0.604,0.143,-16.602,-37.231,23.987
0.887,0.621,0.176,-14.648,-44.861,23.926
0.888,0.630,0.218,-12.207,-44.312,23.315
0.903,0.643,0.248,-9.399,-35.400,22.400
0.923,0.637,0.270,-6.958,-21.057,19.836
0.942,0.625,0.271,-6.226,-5.615,17.212
0.950,0.608,0.262,-8.545,6.897,14.587
0.946,0.586,0.247,-11.841,14.709,12.024
0.938,0.552,0.240,-15.625,18.250,9.827
0.922,0.519,0.234,-18.921,18.982,7.935
0.916,0.482,0.247,-21.973,18.738,7.324
0.904,0.451,0.264,-26.611,16.602,8.728
0.891,0.420,0.281,-32.532,14.038,11.902
0.845,0.413,0.286,-38.513,13.916,14.648
0.798,0.399,0.275,-42.542,18.494,15.564
0.746,0.387,0.264,-45.227,25.635,14.282
0.709,0.368,0.285,-49.194,29.053,12.756
0.686,0.327,0.274,-55.725,23.254,12.390
0.692,0.303,0.246,-63.782,14.771,11.169
0.675,0.304,0.225,-67.444,9.277,9.094
0.676,0.301,0.203,-66.956,5.493,8.423
0.678,0.310,0.177,-66.528,3.662,7.690
0.667,0.341,0.155,-65.491,0.610,6.653
0.656,0.359,0.140,-64.880,-4.272,5.737
0.653,0.388,0.137,-64.880,-10.193,6.165
0.649,0.431,0.141,-64.880,-15.015,6.714
0.651,0.473,0.137,-65.125,-18.250,4.456
0.660,0.520,0.120,-64.941,-21.362,-0.671
0.688,0.563,0.089,-63.965,-23.254,-7.446
0.739,0.611,0.057,-61.951,-24.231,-15.869
0.826,0.636,0.028,-59.021,-26.855,-24.902
0.918,0.656,0.021,-55.542,-30.945,-35.339
1.007,0.687,0.028,-52.063,-33.020,-46.814
1.121,0.714,0.076,-49.500,-31.494,-57.678
1.264,0.738,0.135,-48.950,-27.100,-68.115
1.390,0.822,0.221,-49.744,-22.461,-77.637
1.507,0.966,0.294,-52.429,-21.057,-88.806
1.615,1.134,0.372,-55.725,-26.306,-104.309
1.673,1.388,0.446,-55.847,-38.086,-121.765
1.747,1.856,0.461,-47.119,-58.838,-143.677
1.919,2.527,0.466,-28.870,-91.003,-170.593
2.215,3.390,0.483,-13.306,-138.489,-201.843
2.411,4.000,0.591,3.906,-208.862,-231.873
2.270,4.000,0.808,45.471,-303.284,-250.488
1.898,4.000,1.087,99.609,-393.372,-256.348
1.541,4.000,1.258,135.376,-436.401,-250.793
1.499,4.000,0.891,131.165,-406.616,-244.507
1.730,4.000,0.040,83.862,-338.928,-252.380
2.000,4.000,-1.126,-14.893,-304.443,-257.324
1.871,4.000,-2.412,-108.948,-363.037,-260.742
1.292,4.000,-3.276,-152.832,-517.395,-272.583
0.311,3.960,-3.042,-146.606,-683.594,-290.283
-0.928,3.685,-1.915,-84.961,-781.738,-308.655
-2.581,3.167,-0.665,21.973,-724.731,-342.407
-4.000,1.758,0.074,132.568,-547.180,-397.888
-4.000,-1.235,0.641,186.340,-386.108,-456.787
-4.000,-4.000,1.247,136.414,-348.511,-496.765
-4.000,-4.000,2.039,19.409,-403.442,-468.811
-3.994,-4.000,1.988,-111.450,-472.290,-404.175
-0.464,-4.000,1.255,-169.800,-431.091,-352.112
3.504,-4.000,-0.440,-140.747,-201.050,-203.003
2.864,-4.000,-2.502,-67.932,147.339,126.404
-1.735,-4.000,-4.000,-10.132,521.912,508.118
-4.000,-3.159,-4.000,116.760,775.024,745.300
-4.000,-1.186,-3.470,299.988,720.398,763.611
-4.000,-0.899,-1.124,369.263,449.280,663.940
-3.987,-1.040,0.340,299.438,175.415,557.312
-2.862,-1.324,0.998,165.100,10.254,500.427
-2.058,-1.406,1.163,57.495,-16.541,489.502
-1.508,-1.215,1.242,23.865,69.397,479.736
-0.978,-0.671,1.364,49.561,211.670,465.149
-0.571,-0.464,1.582,80.933,331.116,441.895
-0.224,-0.094,1.667,96.741,375.671,427.002
-0.060,0.306,1.634,78.918,367.615,406.311
0.046,0.824,1.548,36.865,316.528,366.272
0.142,1.102,1.488,-12.085,261.963,306.702
0.295,1.233,1.411,-57.678,226.135,243.896
0.348,1.283,1.246,-85.022,200.684,186.035
0.410,1.329,1.158,-91.370,188.354,135.925
0.552,1.490,1.064,-80.200,180.664,91.614
0.815,1.592,1.054,-71.716,172.607,49.988
1.199,1.626,1.060,-72.083,166.809,18.494
1.399,1.665,0.912,-80.383,163.757,10.559
1.532,1.617,0.682,-97.107,165.100,17.700
1.527,1.580,0.401,-115.295,161.560,23.010
1.508,1.496,0.209,-110.229,151.001,23.865
1.555,1.412,0.191,-83.252,131.714,15.320
1.598,1.329,0.305,-49.683,107.422,8.972
1.530,1.313,0.448,-24.170,84.412,11.597
1.428,1.261,0.601,-10.071,75.012,14.099
1.359,1.234,0.687,-7.446,77.148,14.832
1.253,1.264,0.684,-10.620,85.510,17.700
1.197,1.229,0.648,-12.085,96.680,21.912
1.191,1.135,0.576,-15.991,105.652,15.686
1.247,1.020,0.486,-20.386,107.788,10.986
1.264,0.911,0.359,-24.841,102.478,14.893
1.269,0.853,0.215,-22.278,93.567,22.888
1.261,0.794,0.134,-11.902,79.407,25.208
1.268,0.743,0.144,2.319,54.504,22.461
1.235,0.717,0.235,13.916,22.888,19.348
1.204,0.687,0.366,18.982,-3.540,19.836
1.114,0.656,0.556,16.541,-20.325,22.827
1.142,0.316,1.004,8.789,-22.278,23.499
0.949,0.722,0.839,-6.104,-14.648,9.827
0.874,0.676,0.651,-14.160,11.719,15.198
0.836,0.646,0.511,-16.235,38.269,24.048
0.777,0.540,0.376,-21.179,41.565,24.353
0.773,0.474,0.219,-19.836,32.104,19.714
0.765,0.486,0.102,-14.099,17.639,11.597
0.786,0.488,0.066,-7.019,2.441,4.333
0.825,0.471,0.039,-2.380,-13.733,-0.244
0.859,0.449,0.028,-0.122,-27.649,-2.441
0.902,0.416,0.041,0.427,-36.255,-3.479
0.927,0.396,0.057,1.404,-36.011,-3.357
0.936,0.378,0.080,4.517,-25.513,-2.747
0.922,0.359,0.094,8.911,-7.141,-2.991
0.914,0.346,0.105,11.475,13.184,-3.357
0.893,0.348,0.107,10.803,26.733,-2.563
0.831,0.358,0.118,7.141,30.212,-1.343

0.862,0.428,0.210,3.967,0.305,22.156
0.788,0.395,0.198,5.981,1.831,19.531
0.725,0.364,0.206,7.446,4.578,15.930
0.685,0.343,0.218,8.423,7.935,14.038
0.630,0.324,0.221,7.446,11.292,12.329
0.588,0.311,0.219,5.249,13.794,9.460
0.572,0.288,0.210,2.075,14.526,5.920
0.585,0.265,0.197,-1.526,13.916,2.563
0.618,0.254,0.183,-5.554,11.719,0.305
0.655,0.250,0.168,-10.803,7.263,-0.977
0.687,0.252,0.163,-17.395,0.610,-1.404
0.710,0.248,0.165,-24.109,-6.836,-0.610
0.732,0.254,0.170,-29.419,-14.832,0.183
0.741,0.264,0.184,-32.410,-21.484,0.244
0.747,0.271,0.201,-33.325,-24.414,-0.366
0.753,0.290,0.223,-33.508,-23.437,-1.160
0.767,0.328,0.239,-33.508,-18.433,-1.587
0.777,0.380,0.249,-34.729,-11.353,-1.709
0.790,0.438,0.264,-37.415,-3.723,-2.319
0.811,0.484,0.249,-41.199,3.723,-3.296
0.817,0.523,0.214,-45.898,6.531,-4.578
0.828,0.554,0.209,-48.523,2.075,-5.554
0.863,0.594,0.222,-50.476,-7.690,-7.324
0.902,0.630,0.250,-53.650,-21.423,-10.071
0.981,0.656,0.283,-56.519,-36.743,-12.573
1.055,0.676,0.312,-58.228,-50.110,-13.245
1.128,0.710,0.344,-55.725,-57.007,-11.475
1.181,0.772,0.391,-48.706,-55.542,-11.414
1.214,0.847,0.458,-42.297,-47.363,-16.479
1.275,0.885,0.504,-40.039,-38.086,-26.733
1.353,0.892,0.531,-40.894,-31.738,-38.025
1.425,0.908,0.539,-41.809,-28.320,-47.546
1.441,0.971,0.558,-45.898,-30.518,-55.664
1.418,1.053,0.552,-53.223,-39.429,-65.369
1.408,1.121,0.535,-60.974,-51.819,-76.904
1.389,1.200,0.503,-65.918,-67.444,-87.891
1.369,1.340,0.467,-67.383,-87.036,-98.877
1.339,1.558,0.464,-63.843,-111.206,-108.887
1.321,1.881,0.448,-57.983,-143.799,-122.925
1.427,2.298,0.334,-50.110,-186.340,-152.161
1.660,2.686,0.210,-34.241,-227.905,-193.665
1.870,2.967,0.133,-7.935,-264.221,-226.135
2.011,3.102,0.223,20.264,-304.565,-239.990
1.866,3.328,0.419,46.448,-354.919,-235.596
1.716,3.718,0.629,62.439,-389.709,-217.346
1.547,4.000,0.759,69.519,-388.367,-211.182
1.448,4.000,0.710,60.669,-346.008,-221.619
1.370,4.000,0.513,44.800,-280.334,-233.398
1.213,4.000,0.117,-3.418,-241.577,-245.850
0.923,3.969,-0.376,-93.567,-268.738,-255.127
0.153,3.488,-0.956,-195.618,-371.765,-255.371
-0.985,2.907,-1.481,-265.442,-493.286,-254.639
-2.339,1.935,-1.882,-254.761,-561.462,-273.560
-3.509,0.590,-2.077,-158.386,-546.753,-314.941
-4.000,-1.063,-1.917,-6.470,-473.206,-359.436
-4.000,-2.945,-1.284,145.996,-383.850,-384.277
-4.000,-4.000,-0.669,237.610,-309.509,-391.785
-4.000,-4.000,-0.023,234.802,-270.508,-390.198
-4.000,-4.000,0.575,175.354,-295.227,-388.245
-3.064,-4.000,1.264,143.616,-347.107,-406.494
0.239,-4.000,1.604,140.259,-334.778,-375.427
2.458,-4.000,1.319,70.679,-237.122,-217.041
2.155,-4.000,0.621,-60.242,-39.612,36.438
-0.132,-4.000,-0.197,-161.987,241.211,305.908
-3.407,-3.515,-1.281,-147.522,506.226,529.419
-4.000,-2.421,-1.549,-40.588,617.249,631.287
-4.000,-1.619,-0.997,23.376,487.244,563.416
-3.433,-1.551,-0.004,0.610,248.108,460.571
-2.444,-1.522,0.620,-62.195,75.134,425.293
-1.866,-1.379,0.753,-108.765,33.813,435.852
-1.450,-1.166,0.703,-111.450,105.103,455.322
-1.169,-0.765,0.630,-80.444,215.759,474.121
-0.937,-0.292,0.635,-49.927,299.927,493.286
-0.721,0.160,0.669,-34.485,338.623,516.663
-0.808,0.599,0.700,-37.476,355.408,538.757
-0.823,1.013,0.723,-47.485,380.066,546.875
-0.853,1.358,0.670,-40.405,396.790,518.433
-0.772,1.820,0.523,-28.809,401.367,458.252
-0.823,2.267,0.311,-30.396,389.771,380.920
-0.631,2.533,0.224,-33.142,355.286,298.462
-0.411,2.729,0.287,-40.344,289.551,216.675
-0.334,2.938,0.395,-32.654,204.468,146.667
-0.220,3.055,0.605,-10.498,138.000,90.027
-0.015,3.046,0.890,8.667,111.023,49.744
0.259,2.910,1.168,19.531,115.540,17.761
0.560,2.672,1.277,14.526,133.911,-8.240
0.783,2.455,1.212,-3.662,153.870,-19.531
0.973,2.218,1.027,-20.935,171.204,-15.503
1.053,1.988,0.795,-29.846,177.429,-8.362
1.187,1.704,0.629,-27.405,168.274,-4.456
1.260,1.475,0.576,-15.686,146.729,2.075
1.248,1.385,0.612,-4.028,122.498,13.062
1.171,1.310,0.667,4.150,98.938,22.156
1.072,1.261,0.723,6.042,79.590,23.254
0.987,1.213,0.696,0.366,65.979,22.949
0.915,1.163,0.653,-3.662,65.674,22.217
0.835,1.104,0.599,-5.005,72.021,18.188
0.808,0.994,0.573,-5.249,80.444,13.245
0.766,0.920,0.527,-6.897,84.595,11.169
0.737,0.811,0.468,-9.460,79.834,11.230
0.706,0.727,0.378,-12.939,67.017,8.789
0.682,0.668,0.304,-12.512,49.194,5.127
0.725,0.598,0.282,-7.690,33.081,1.221
0.732,0.557,0.298,-3.357,20.813,-0.854
0.758,0.512,0.349,-0.305,14.221,-1.709
0.742,0.517,0.384,-0.671,13.306,-1.892
0.715,0.511,0.399,-2.258,18.005,-2.563
0.709,0.489,0.376,-4.700,26.978,-4.578
0.700,0.469,0.332,-7.141,34.424,-6.165
0.677,0.446,0.305,-8.606,36.804,-7.080
0.708,0.404,0.333,-9.155,35.217,-8.423
0.730,0.383,0.362,-10.986,28.076,-9.705
